Row Labels,Average of AVERAGE TIME ON PAGE (SECONDS)
/culture-and-recreation/fitness-center/sgsp-r6v2/explore/query/select%0a%20%20%60business_name%60%2c%0a%20%20%60full_address%60%2c%0a%20%20%60city%60%2c%0a%20%20%60zip%60%2c%0a%20%20%60phone_number%60%2c%0a%20%20%60website%60%2c%0a%20%20%60the_geom%60%0aorder%20by%20%60business_name%60%20asc%20null%20last/page/filter,2794.26
/nominate/381977,2149.39
/3212/30873/victims-of-crime,1961.99
/publicarrest,1787.67
/public-safety/2015-crime-map/smb2-b252/1394589,1784
/2671/26550/a-safe-secure-digital-baton-rouge,1777
/dataset/census-block/bb2s-hh6s/data,1756
/transportation-and-infrastructure/traffic-control-signs/jgyx-359u/edit,1755
/3190/31165/homelessness-community-resources,1748.64
/3113/29928/east-baton-rouge-parish-emergency-operat,1740.2
Grand Total,1925.415
